2018-12-15 12:02:43,b'RT @AdinoyiTK: Say No to Vote buying\nSay No to Vote buying\nSay No to Vote buying\nSay No to Vote buying\nSay No to Vote buying\nSay No to Vote\xe2\x80\xa6'
2018-12-15 10:25:08,b'Clay Richie: Who\xe2\x80\x99s the pioneer of fake news in modern-day Niger... https://t.co/a0aIRVIUsp #News #Nigeria #Africa\xe2\x80\xa6 https://t.co/V4mnApN54N'
2018-12-15 09:22:06,b'Say No to Vote buying\nSay No to Vote buying\nSay No to Vote buying\nSay No to Vote buying\nSay No to Vote buying\nSay N\xe2\x80\xa6 https://t.co/ftdLoY4MHy'
2018-12-15 04:07:45,b'RT @jai_dewani: Off to @iitkharagpur for #ACM #ICPC with @techieShukla and my other team mate. \n3hrs away from destination.\n#CodeNewbie #10\xe2\x80\xa6'
2018-12-25 03:00:30,"b""Four teams of students from Cogswell's Computer Science Department competed in the regional chapter of the #ICPC an\xe2\x80\xa6 https://t.co/IaGWztm7Qs"""
2018-12-24 07:45:05,"b""I can't believe its 3days since I tweeted this and none of @cenbank @FBN_help or @AirtelNigeria has responded. Do I\xe2\x80\xa6 https://t.co/NxuQSnaXB1"""
2018-12-23 21:08:56,"b'RT @inzvaspace: The Algorithm Community Workshop II was very productive and full of ideas, we thank all our guests for their contribution t\xe2\x80\xa6'"
2018-12-23 19:22:35,"b'RT @inzvaspace: The Algorithm Community Workshop II was very productive and full of ideas, we thank all our guests for their contribution t\xe2\x80\xa6'"
2018-12-23 17:13:03,"b'RT @inzvaspace: The Algorithm Community Workshop II was very productive and full of ideas, we thank all our guests for their contribution t\xe2\x80\xa6'"
2018-12-23 17:06:59,"b'The Algorithm Community Workshop II was very productive and full of ideas, we thank all our guests for their contri\xe2\x80\xa6 https://t.co/tLiywVYCeC'"
2018-12-23 02:57:05,b'RT @PTV_NG: #Senate confirms #Owasanoye as #ICPC chairman https://t.co/Le2ii0GtnT'
2018-12-20 20:18:55,b'RT @PTV_NG: #Senate confirms #Owasanoye as #ICPC chairman https://t.co/Le2ii0GtnT'
2018-12-20 13:31:26,b'RT @PTV_NG: #Senate confirms #Owasanoye as #ICPC chairman https://t.co/Le2ii0GtnT'
2018-12-20 13:26:12,b'#Senate confirms #Owasanoye as #ICPC chairman https://t.co/Le2ii0GtnT'
2018-12-20 08:08:06,"b""Glad that the the predator-lecturer has been sentenced. There's no excuse for trading marks for sexual favours, eve\xe2\x80\xa6 https://t.co/AphwUoIzgT"""
